image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/horse.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl.jpg,0.726
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tiger5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey19.jpg,0.571
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.673
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/whale3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book62.jpg,0.787
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/horse8.jpg,0.619
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.673
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey19.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tiger5.jpg,0.571
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/whale2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.887
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/horse.jpg,0.726
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book62.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/whale3.jpg,0.787
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy21.jpg,0.754
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller5.jpg,0.707
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.888
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sunglasses2.jpg,0.822
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby21.jpg,0.754
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.888
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller.jpg,0.761
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water26.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book64.jpg,0.917
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,0.697
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sunglasses4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys4.jpg,0.774
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle17.jpg,0.707
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baby.jpg,0.697
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book64.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water26.jpg,0.917
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sunglasses2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,0.822
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.761
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sunglasses4.jpg,0.774
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper5.jpg,0.633
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.822
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone12.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe12.jpg,0.804
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,0.71
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water27.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon15.jpg,0.684
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone.jpg,0.822
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat7.jpg,0.818
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.72
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,0.824
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water27.jpg,0.684
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair2.jpg,0.633
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.71
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/keys.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat.jpg,0.824
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/garbage100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water100.jpg,0.681
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/glasses2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bath.jpg,0.823
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/gate.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tractor.jpg,0.707
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote100.jpg,0.833
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bath.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/glasses2.jpg,0.823
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/garbage.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.616
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/glasses100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bath100.jpg,0.829
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tractor100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/gate100.jpg,0.881
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/garbage100.jpg,0.681
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bath100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/glasses100.jpg,0.829
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tractor.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/gate.jpg,0.707
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/remote100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk100.jpg,0.833
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/garbage.jpg,0.616
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/gate100.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tractor100.jpg,0.881
